,Vorname,Scope1,Scope2,Scope3,Scope1und2,Scope2und3,Scope1bis3,AbsSeiten,Jahr,Gewichtseinheit,NamePDF
0,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2019,tons,04172019-finance-lafargeholcim_fy_annual_report-en.pdf
1,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,1655 - ANNUAL REPORT 2021 - 18-Oct-21.pdf
2,Rainer,[],[163.49],[],[],[],[],"[[], [45], [], [], [], []]",2021,Tonnes,183 - ANNUAL REPORT 2021 - 26-Oct-21.pdf
3,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,1903 - 2021 ANNUAL REPORT - 19-Oct-21.pdf
4,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,2018 Annual report on Form 20-F.pdf
5,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,2018-annual-report-20-f.pdf
6,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,2018-Annual-Report-and-Accounts-General-Meeting-Draft.pdf
7,Rainer,"[7477.0, 332490.0]","[16004.0, 36.0, 74279.0]",[],[],[],[],"[[53], [53], [], [], [], []]",2018,tCO2e,2018-annual-report.pdf
8,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,2018-annual-srz-report-doc.pdf
9,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,2018-financial-statements-en_unlocked.pdf
10,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,20190404_BILANCI_2018_uk.pdf
11,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,2211 - 202021 ANNUAL REPORT - 21-Oct-21.pdf
12,Rainer,"[10.16, 21.9]","[73.0, 406.0, 55.0]",[],[],[],[],"[[185], [185], [], [], [], []]",2018,t CO2,28022019-Repsol-Annual-Financial-Report-2018_tcm14-147383.pdf
13,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2018,tons,302-09122.pdf
14,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,3249 - Annual Report for period end 31Jul2021 English PDF - 28-Oct-21.pdf
15,Rainer,[],[],[],[],[],[],"[[], [], [], [], [], []]",2021,tons,3269 - Annual Report for period end 31Jul2021 Japanese PDF - 26-Oct-21.pdf
